stress_MPa,vT_m_s
34.987715,3120.2291
35.001035,3120.2728
35.01395,3120.2888
35.01595,3120.2252
35.020785,3120.2964
35.021049,3120.2272
35.022031,3120.221
35.026047,3120.2552
35.034715,3120.1768
35.042368,3120.222
35.055866,3120.1114
35.063709,3120.1652
35.065426,3119.9924
35.073361,3120.2106
35.076479,3120.1767
35.07747,3120.1679
35.078375,3120.1519
35.082708,3120.2006
35.087938,3120.2116
35.100118,3120.2243
35.107579,3120.0923
35.113743,3120.112
35.114072,3120.1628
35.116967,3120.0979
35.119026,3120.166
35.124653,3120.0289
35.129699,3120.0534
35.140796,3120.0907
35.152487,3120.004
35.157376,3119.9978
35.159725,3120.0171
35.161766,3120.0905
35.163534,3119.9812
35.169701,3120.1074
35.174418,3119.9856
35.182074,3120.048
35.190691,3119.9346
35.198727,3120.1599
35.204055,3119.8935
35.214559,3119.9523
35.215028,3119.9193
35.216656,3119.916
35.217181,3119.906
35.222906,3120.069
35.241028,3119.8536
35.248079,3119.7445
35.248788,3119.7443
35.256809,3119.9381
35.256866,3119.8921
35.262867,3119.8257
35.268301,3119.8896
35.268586,3119.9911
35.27378,3119.8154
35.277384,3119.8647
35.281196,3119.839
35.28998,3119.8458
35.299837,3119.793
35.304886,3119.8342
35.30571,3119.8082
35.307087,3119.8107
35.313482,3119.8298
35.318463,3119.7704
35.33444,3119.7502
35.337555,3119.8123
35.340723,3119.7367
35.347166,3119.6899
35.347394,3119.6301
35.348462,3119.6463
35.351435,3119.7426
35.35829,3119.6373
35.360399,3119.5571
35.368942,3119.587
35.378978,3119.6022
35.389906,3119.5313
35.394655,3119.6114
35.398321,3119.5225
35.398425,3119.5327
35.401119,3119.5061
35.402623,3119.6029
35.405174,3119.5572
35.414542,3119.4335
35.427793,3119.5668
35.432177,3119.44
35.439362,3119.4862
35.442358,3119.3982
35.447214,3119.4741
35.451097,3119.5092
35.451678,3119.472
35.454997,3119.5078
35.459898,3119.3624
35.468047,3119.4115
35.474433,3119.3077
35.482929,3119.4435
35.482953,3119.4472
35.484033,3119.3674
35.484038,3119.4158
35.488871,3119.3787
35.501748,3119.3952
35.512771,3119.4072
35.516627,3119.4079
35.519846,3119.4653
35.524076,3119.4589
35.524402,3119.4969
35.525227,3119.424
35.527719,3119.3307
35.533328,3120.2783
35.541391,3119.2903
35.545307,3119.3081
35.551711,3119.4087
35.558018,3119.3205
35.561696,3119.3893
35.569127,3119.3112
35.572235,3119.4507
35.57403,3120.2726
35.581031,3120.269
35.589174,3120.2738
35.597598,3119.3514
35.607494,3119.4123
35.611336,3120.3349
35.615699,3120.2523
35.618864,3120.3027
35.619897,3120.3539
35.61995,3120.3077
35.621926,3120.2442
35.624699,3120.2411
35.633536,3120.2816
35.644672,3120.2889
35.650234,3120.2239
35.65506,3120.1673
35.655932,3120.3029
35.657427,3119.3005
35.661272,3120.2143
35.666614,3120.2211
35.671144,3120.2433
35.677566,3120.2959
35.687931,3120.1904
35.694217,3120.2011
35.697634,3120.1663
35.700369,3120.208
35.701161,3120.2655
35.701185,3120.162
35.705854,3120.0508
35.714884,3120.1225
35.722724,3120.0712
35.734741,3120.0024
35.736885,3120.1007
35.745165,3119.9618
35.74725,3119.9452
35.748356,3120.0259
35.750095,3120.1244
35.755936,3119.9483
35.759709,3119.9285
35.771708,3119.9012
35.77913,3119.9774
35.785057,3119.9856
35.789145,3120.0266
35.792277,3119.968
35.795519,3119.9393
35.795676,3119.9794
35.795783,3119.9749
35.803202,3120.0252
35.809725,3119.9186
35.82311,3119.9091
35.830369,3120.0142
35.834536,3119.9178
35.835913,3119.9658
35.837423,3119.857
35.838947,3119.917
35.848312,3119.9488
35.860009,3119.9322
35.865197,3119.8845
35.8694,3119.8615
35.871815,3119.828
35.874428,3119.7938
35.877324,3119.833
35.877775,3119.782
35.877801,3119.8931
35.884677,3119.7322
35.89069,3119.8039
35.90155,3119.7657
35.909512,3119.7954
35.912158,3119.7119
35.915291,3119.7886
35.916453,3119.788
35.918343,3119.7601
35.918678,3119.7541
35.924083,3119.6463
35.936794,3119.6925
35.945082,3119.6394
35.951243,3119.717
35.951682,3119.6592
35.955512,3119.6753
35.956417,3119.5934
35.958339,3119.5273
35.960436,3119.5761
35.964773,3119.6239
35.96922,3119.5821
35.974636,3119.6095
35.987748,3119.5724
35.993606,3119.5597
35.995116,3119.6977
35.995262,3119.6303
35.996116,3119.5912
36.000376,3119.5433
36.011191,3119.6089
36.022401,3119.4359
36.023864,3119.5146
36.025655,3119.5632
36.029699,3119.5144
