extension_nm,force_pN
-12.181761,1.9472638
-11.901169,1.9477787
-12.068244,1.9476638
-11.959773,1.9476004
-12.219013,1.9494234
-12.062031,1.9481466
-12.3578,1.9516932
-12.325373,1.9495182
-12.051155,1.9488254
-11.920834,1.9506938
-12.301529,1.9486229
-12.164825,1.9498237
-12.427114,1.9519788
-12.675277,1.9508854
-12.57463,1.9511396
-12.848717,1.9495431
-12.734343,1.9470111
-12.634601,1.9517319
-12.494799,1.9501156
-12.438385,1.9487048
-12.420812,1.9496517
-12.252516,1.9500144
-12.127188,1.9486855
-11.835791,1.9464257
-11.715291,1.9498873
-11.516913,1.9497216
-11.0615,1.9496075
-10.930674,1.949798
-11.126811,1.9463761
-11.272226,1.9491308
-11.280231,1.9501543
-11.204879,1.9507905
-11.467728,1.947741
-11.426017,1.9477217
-11.487338,1.9521576
-11.169691,1.9498615
-10.924668,1.9449855
-11.428564,1.9488263
-11.391491,1.9471995
-11.278109,1.9506367
-11.136661,1.9468199
-11.196395,1.9474283
-11.582747,1.9478983
-11.689572,1.949926
-11.971749,1.9508153
-12.046809,1.950459
-12.132557,1.9488328
-12.389002,1.95046
-12.266179,1.9492384
-12.222757,1.9465084
-11.911618,1.9482358
-11.971327,1.9512925
-11.757722,1.9525585
-11.83917,1.9498937
-11.835298,1.9475875
-11.970512,1.9507399
-12.177288,1.9492449
-12.336928,1.9499627
-12.200215,1.9521383
-11.925179,1.9478347
-11.956053,1.9498689
-12.315835,1.9494106
-12.099504,1.9522461
-12.631334,1.9502869
-12.311172,1.9523733
-12.19291,1.9507141
-11.840368,1.9469844
-11.915272,1.9471756
-12.265546,1.9475056
-11.730968,1.9531181
-11.660509,1.9511967
-11.817349,1.9496268
-11.758461,1.948267
-11.813553,1.946185
-11.539102,1.9515918
-11.31709,1.9511396
-11.454389,1.9514518
-11.480414,1.9517567
-11.205949,1.947981
-11.526747,1.9469339
-11.301304,1.9459957
-11.333319,1.9495182
-11.292578,1.9489909
-10.9413,1.9504406
-11.165905,1.9502748
-11.030321,1.9519733
-10.950213,1.9512538
-10.8376,1.9492062
-10.527867,1.9490038
-10.744491,1.9518656
-11.258138,1.9509047
-11.418585,1.9502372
-11.692085,1.9474348
-12.045725,1.9504857
-12.156186,1.9471425
-12.343979,1.951438
-12.430722,1.950936
-12.365067,1.9475939
-12.366361,1.9492394
-12.083487,1.9502555
-11.825139,1.9509047
-11.571709,1.9507389
-11.678482,1.9530996
-11.85717,1.950681
-11.86225,1.9474348
-11.617128,1.9477906
-11.85675,1.9492965
-11.433282,1.9523429
-11.301108,1.9520941
-11.459381,1.9504139
-11.548305,1.9492707
-11.295774,1.9487996
-11.483611,1.9486285
-10.977653,1.9494289
-10.834339,1.9497925
-10.936918,1.9494741
-10.57512,1.9490103
-10.448962,1.9464192
-10.210334,1.9484574
-10.120341,1.9522599
-9.7758627,1.949995
-9.6922102,1.9489533
-9.235631,1.9468328
-9.2444992,1.9489468
-9.1936359,1.9509618
-8.8378868,1.9492136
-8.8818531,1.949232
-8.8257771,1.9523041
-8.7629576,1.9504397
-8.3487072,1.9496075
-8.2178974,1.9482045
-8.1973066,1.9490167
-7.9659147,1.9516242
-7.9130912,1.9513873
-7.8890972,1.9517245
-7.986618,1.9482863
-8.2457981,1.947251
-8.0121651,1.9505106
-7.5873008,1.9497787
-7.9283624,1.9481971
-8.0499096,1.9495063
-8.3444128,1.9479498
-8.6296988,1.9496323
-8.5164423,1.9475112
-8.3868198,1.9493462
-8.2631779,1.9511138
-8.2513695,1.9487692
-8.161458,1.9501984
-7.9642973,1.9467565
-7.6702571,1.9459635
-7.6179366,1.9525511
-7.7475486,1.9501479
-7.590342,1.9506441
-7.4734898,1.9494934
-7.2604179,1.9479746
-7.5814085,1.9496968
-7.8244433,1.9526341
-7.9391713,1.9490424
-7.722568,1.949175
-7.5757804,1.9499058
-7.7416391,1.9472767
-7.4556828,1.9510125
-7.4211183,1.948439
-7.5301633,1.9473273
-6.8655453,1.9495817
-6.7128782,1.9478669
-6.8393092,1.9496075
-7.1863661,1.950924
-7.1116991,1.9498808
-6.7762852,1.949913
-6.9729657,1.9486984
-6.5320411,1.951147
-6.674212,1.95266
-6.8459296,1.9513302
-6.7473583,1.9500715
-6.9548969,1.9486479
